PortName,Country,Latitude,Longitude,Min Temp,Max Temp,Annual Temp,Salinity,TempSource,SalinitySource,DataNotes
Port.Alice,CAN,50.38333,-127.45,5.09,15.84,9.54,30.32,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1yr - Sept 2016 to Aug 2017 ",Source is from Kains Island (lat and long: 50.4412 -128.0324). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,Source verified as Port Alice is known for saltwater fishing
Bakar,HR,45.31667,14.43333,10.425,25.583,17.5925,37.01,European Marine Observation and Data Network (http://www.emodnet-physics.eu/Map/platinfo/piroosctdplot.aspx?platformid=371393),Tcports_NearKeller_WOA,0
Rupert.Inlet,CAN,50.55,-127.56667,5.24,16.64,10.19,30.32,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1yr - Sept 2016 to Aug 2017 ",Source is from Kains Island (lat and long: 50.4412 -128.0324). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
Quatsino.Sound,CAN,50.53333,-127.6,5.24,16.64,10.19,30.32,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1yr - Sept 2016 to Aug 2017 ",Source is from Kains Island (lat and long: 50.4412 -128.0324). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
Gold.River,CAN,49.68333,-126.11667,3.85,17.64,9.41,7.6,Air,Model,0
Tahsis,CAN,49.91667,-126.66667,5.09,16.04,9.51,26.86,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1yr - July 2016 to July 2017  (missing Aug 2016) ",Source is from Nootka (lat and long: 49.5926 -126.6154). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
North.Sydney,CAN,46.2,-60.25,0.52,19.8,7.88,23.3,Air,Model,0
St..Peter's,CAN,45.65,-60.86667,0.72,19.02,7.82,20.17,Air,Model,0
Sydney.CAN,CAN,46.15,-60.2,0.52,19.51,7.69,21.25,Air,Model,0
Herschel.Is.,CAN,69.56667,-139,-1.5,4.9,0.37,25.03,0,WOA,0
Port.Hardy,CAN,50.71667,-127.48333,6.2,14,9.09,31.46,"Sea Surface Temp, 11 yr - 2007 to 2017/ 1yr - AUG 2016 to Sept 2017 ",Source is from Pine Island (lat and long: 50.9756 -127.728). Source website: http://open.canada.ca/data/en/dataset/719955f2-bf8e-44f7-bc26-6bd623e82884,0
